"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.87253828848E+004, -9.84410166620E+000, +0.00000000000E+000
+1.88427011574E+004, -9.84419152393E+000, +0.00000000000E+000
+1.89600194300E+004, -9.84417627565E+000, +0.00000000000E+000
+1.90773377026E+004, -9.84454499666E+000, +0.00000000000E+000
+1.91946559751E+004, -9.84420643450E+000, +0.00000000000E+000
+1.93119742477E+004, -9.84412598437E+000, +0.00000000000E+000
+1.94292925203E+004, -9.84452604288E+000, +0.00000000000E+000
+1.95466107929E+004, -9.84464708378E+000, +0.00000000000E+000
+1.96639290655E+004, -9.84456529455E+000, +0.00000000000E+000
+1.97812473381E+004, -9.84451360226E+000, +0.00000000000E+000
+1.98985656106E+004, -9.84486941429E+000, +0.00000000000E+000
+2.00158838832E+004, -9.84459020671E+000, +0.00000000000E+000
+2.01332021558E+004, -9.84445097678E+000, +0.00000000000E+000
+2.02505204284E+004, -9.84491868633E+000, +0.00000000000E+000
+2.03678387010E+004, -9.84474407225E+000, +0.00000000000E+000
+2.04851569736E+004, -9.84501995932E+000, +0.00000000000E+000
+2.06024752462E+004, -9.84495586465E+000, +0.00000000000E+000
+2.07197935187E+004, -9.84493422883E+000, +0.00000000000E+000
+2.08371117913E+004, -9.84465230850E+000, +0.00000000000E+000
+2.09544300639E+004, -9.84548699491E+000, +0.00000000000E+000
+2.10717483365E+004, -9.84531205268E+000, +0.00000000000E+000
+2.11890666091E+004, -9.84482245045E+000, +0.00000000000E+000
+2.13063848817E+004, -9.84478551242E+000, +0.00000000000E+000
+2.14237031543E+004, -9.84504155177E+000, +0.00000000000E+000
+2.15410214268E+004, -9.84501230994E+000, +0.00000000000E+000
+2.16583396994E+004, -9.84528752217E+000, +0.00000000000E+000
+2.17756579720E+004, -9.84552812737E+000, +0.00000000000E+000
+2.18929762446E+004, -9.84512905079E+000, +0.00000000000E+000
+2.20102945172E+004, -9.84496478783E+000, +0.00000000000E+000
+2.21276127898E+004, -9.84521289863E+000, +0.00000000000E+000
+2.22449310624E+004, -9.84524950260E+000, +0.00000000000E+000
+2.23622493349E+004, -9.84559597946E+000, +0.00000000000E+000
+2.24795676075E+004, -9.84510238162E+000, +0.00000000000E+000
+2.25968858801E+004, -9.84523356264E+000, +0.00000000000E+000
+2.27142041527E+004, -9.84526793012E+000, +0.00000000000E+000
+2.28315224253E+004, -9.84520746233E+000, +0.00000000000E+000
+2.29488406979E+004, -9.84568973151E+000, +0.00000000000E+000
+2.30661589705E+004, -9.84596460965E+000, +0.00000000000E+000
+2.31834772430E+004, -9.84557990340E+000, +0.00000000000E+000
