"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.37311011386E+004, +1.10207445929E+001, +0.00000000000E+000
+3.39543985517E+004, +1.10768027091E+001, +0.00000000000E+000
+3.41776959648E+004, +1.11326169581E+001, +0.00000000000E+000
+3.44009933779E+004, +1.11882867475E+001, +0.00000000000E+000
+3.46242907910E+004, +1.12440727900E+001, +0.00000000000E+000
+3.48475882041E+004, +1.12991335479E+001, +0.00000000000E+000
+3.50708856172E+004, +1.13560654287E+001, +0.00000000000E+000
+3.52941830303E+004, +1.14113731700E+001, +0.00000000000E+000
+3.55174804434E+004, +1.14665683651E+001, +0.00000000000E+000
+3.57407778565E+004, +1.15228049521E+001, +0.00000000000E+000
+3.59640752696E+004, +1.15792197720E+001, +0.00000000000E+000
+3.61873726827E+004, +1.16361070921E+001, +0.00000000000E+000
+3.64106700958E+004, +1.16907830376E+001, +0.00000000000E+000
+3.66339675088E+004, +1.17474820859E+001, +0.00000000000E+000
+3.68572649219E+004, +1.18033267110E+001, +0.00000000000E+000
+3.70805623350E+004, +1.18600051214E+001, +0.00000000000E+000
+3.73038597481E+004, +1.19156358682E+001, +0.00000000000E+000
+3.75271571612E+004, +1.19713843079E+001, +0.00000000000E+000
+3.77504545743E+004, +1.20280296186E+001, +0.00000000000E+000
+3.79737519874E+004, +1.20826706108E+001, +0.00000000000E+000
+3.81970494005E+004, +1.21391384090E+001, +0.00000000000E+000
+3.84203468136E+004, +1.21951013955E+001, +0.00000000000E+000
+3.86436442267E+004, +1.22501677766E+001, +0.00000000000E+000
+3.88669416398E+004, +1.23065047967E+001, +0.00000000000E+000
+3.90902390529E+004, +1.23633061478E+001, +0.00000000000E+000
+3.93135364660E+004, +1.24200391492E+001, +0.00000000000E+000
+3.95368338791E+004, +1.24748660798E+001, +0.00000000000E+000
+3.97601312922E+004, +1.25302932217E+001, +0.00000000000E+000
+3.99834287053E+004, +1.25854567928E+001, +0.00000000000E+000
+4.02067261184E+004, +1.26425624143E+001, +0.00000000000E+000
+4.04300235315E+004, +1.26983342119E+001, +0.00000000000E+000
+4.06533209446E+004, +1.27539957162E+001, +0.00000000000E+000
+4.08766183577E+004, +1.28106799728E+001, +0.00000000000E+000
+4.10999157708E+004, +1.28664859394E+001, +0.00000000000E+000
+4.13232131839E+004, +1.29217220318E+001, +0.00000000000E+000
+4.15465105969E+004, +1.29779502259E+001, +0.00000000000E+000
+4.17698080100E+004, +1.30328781804E+001, +0.00000000000E+000
+4.19931054231E+004, +1.30893165887E+001, +0.00000000000E+000
+4.22164028362E+004, +1.31438689822E+001, +0.00000000000E+000
+4.24397002493E+004, +1.32000136748E+001, +0.00000000000E+000
+4.26629976624E+004, +1.32558410818E+001, +0.00000000000E+000
+4.28862950755E+004, +1.33108794400E+001, +0.00000000000E+000
+4.31095924886E+004, +1.33664750663E+001, +0.00000000000E+000
+4.33328899017E+004, +1.34234600382E+001, +0.00000000000E+000
+4.35561873148E+004, +1.34781890848E+001, +0.00000000000E+000
+4.37794847279E+004, +1.35335212546E+001, +0.00000000000E+000
+4.40027821410E+004, +1.35888277993E+001, +0.00000000000E+000
+4.42260795541E+004, +1.36441444446E+001, +0.00000000000E+000
+4.44493769672E+004, +1.36994677040E+001, +0.00000000000E+000
+4.46726743803E+004, +1.37559592070E+001, +0.00000000000E+000
+4.49336949473E+004, +1.38189404503E+001, +0.00000000000E+000
+4.52413354982E+004, +1.38960123070E+001, +0.00000000000E+000
+4.55489760492E+004, +1.39723963661E+001, +0.00000000000E+000
+4.58566166001E+004, +1.40485299482E+001, +0.00000000000E+000
+4.61642571511E+004, +1.41245535368E+001, +0.00000000000E+000
+4.64718977020E+004, +1.42008349721E+001, +0.00000000000E+000
+4.67795382530E+004, +1.42766580393E+001, +0.00000000000E+000
+4.70871788039E+004, +1.43522167089E+001, +0.00000000000E+000
+4.73948193549E+004, +1.44289691737E+001, +0.00000000000E+000
+4.77024599058E+004, +1.45041970445E+001, +0.00000000000E+000
+4.80101004568E+004, +1.45794643524E+001, +0.00000000000E+000
+4.83177410077E+004, +1.46556612647E+001, +0.00000000000E+000
+4.86253815587E+004, +1.47311392773E+001, +0.00000000000E+000
+4.89330221097E+004, +1.48056361191E+001, +0.00000000000E+000
+4.92406626606E+004, +1.48814295274E+001, +0.00000000000E+000
+4.95483032116E+004, +1.49567872656E+001, +0.00000000000E+000
+4.98559437625E+004, +1.50331924143E+001, +0.00000000000E+000
+5.01635843135E+004, +1.51080303745E+001, +0.00000000000E+000
+5.04712248644E+004, +1.51821169716E+001, +0.00000000000E+000
+5.07788654154E+004, +1.52571379605E+001, +0.00000000000E+000
+5.10865059663E+004, +1.53318522838E+001, +0.00000000000E+000
+5.13941465173E+004, +1.54061553511E+001, +0.00000000000E+000
+5.17017870682E+004, +1.54819316619E+001, +0.00000000000E+000
+5.20094276192E+004, +1.55563109715E+001, +0.00000000000E+000
+5.23170681701E+004, +1.56308207442E+001, +0.00000000000E+000
+5.26247087211E+004, +1.57057261044E+001, +0.00000000000E+000
+5.29323492720E+004, +1.57804376521E+001, +0.00000000000E+000
+5.32399898230E+004, +1.58535228799E+001, +0.00000000000E+000
+5.35476303739E+004, +1.59281582149E+001, +0.00000000000E+000
+5.38552709249E+004, +1.60026553076E+001, +0.00000000000E+000
+5.41629114758E+004, +1.60764914838E+001, +0.00000000000E+000
+5.44705520268E+004, +1.61501756818E+001, +0.00000000000E+000
+5.47781925777E+004, +1.62244797161E+001, +0.00000000000E+000
+5.50858331287E+004, +1.62987126248E+001, +0.00000000000E+000
+5.53934736796E+004, +1.63720660405E+001, +0.00000000000E+000
+5.57011142306E+004, +1.64458297094E+001, +0.00000000000E+000
+5.60087547816E+004, +1.65204350365E+001, +0.00000000000E+000
+5.63163953325E+004, +1.65926538994E+001, +0.00000000000E+000
+5.66240358835E+004, +1.66652578944E+001, +0.00000000000E+000
+5.69316764344E+004, +1.67394674962E+001, +0.00000000000E+000
+5.72393169854E+004, +1.68130529685E+001, +0.00000000000E+000
+5.75469575363E+004, +1.68846741788E+001, +0.00000000000E+000
+5.78545980873E+004, +1.69582409988E+001, +0.00000000000E+000
+5.81622386382E+004, +1.70295890534E+001, +0.00000000000E+000
+5.84698791892E+004, +1.71024164003E+001, +0.00000000000E+000
+5.87775197401E+004, +1.71749846188E+001, +0.00000000000E+000
+5.90851602911E+004, +1.72481095644E+001, +0.00000000000E+000
+5.93928008420E+004, +1.73204411332E+001, +0.00000000000E+000
+5.97004413930E+004, +1.73924602054E+001, +0.00000000000E+000
