"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+6.19058970647E+004, +1.78911938473E+001, +0.00000000000E+000
+6.23297385560E+004, +1.79899041878E+001, +0.00000000000E+000
+6.27535800474E+004, +1.80881988870E+001, +0.00000000000E+000
+6.31774215388E+004, +1.81848559539E+001, +0.00000000000E+000
+6.36012630302E+004, +1.82816980417E+001, +0.00000000000E+000
+6.40251045216E+004, +1.83787020266E+001, +0.00000000000E+000
+6.44489460130E+004, +1.84761889919E+001, +0.00000000000E+000
+6.48727875044E+004, +1.85736635854E+001, +0.00000000000E+000
+6.52966289958E+004, +1.86699895860E+001, +0.00000000000E+000
+6.57204704872E+004, +1.87654683336E+001, +0.00000000000E+000
+6.61443119786E+004, +1.88628244790E+001, +0.00000000000E+000
+6.65681534700E+004, +1.89580756258E+001, +0.00000000000E+000
+6.69919949613E+004, +1.90525410985E+001, +0.00000000000E+000
+6.74158364527E+004, +1.91485854253E+001, +0.00000000000E+000
+6.78396779441E+004, +1.92439071965E+001, +0.00000000000E+000
+6.82635194355E+004, +1.93390166654E+001, +0.00000000000E+000
+6.86873609269E+004, +1.94324231822E+001, +0.00000000000E+000
+6.91112024183E+004, +1.95280586362E+001, +0.00000000000E+000
+6.95350439097E+004, +1.96224176648E+001, +0.00000000000E+000
+6.99588854011E+004, +1.97162390056E+001, +0.00000000000E+000
+7.03827268925E+004, +1.98100634778E+001, +0.00000000000E+000
+7.08065683839E+004, +1.99025705660E+001, +0.00000000000E+000
+7.12304098753E+004, +1.99965934503E+001, +0.00000000000E+000
+7.16542513666E+004, +2.00905184346E+001, +0.00000000000E+000
+7.20780928580E+004, +2.01832528454E+001, +0.00000000000E+000
+7.25019343494E+004, +2.02763675655E+001, +0.00000000000E+000
+7.29257758408E+004, +2.03681971927E+001, +0.00000000000E+000
+7.33496173322E+004, +2.04599233309E+001, +0.00000000000E+000
+7.37734588236E+004, +2.05522294766E+001, +0.00000000000E+000
+7.41973003150E+004, +2.06446287912E+001, +0.00000000000E+000
+7.46211418064E+004, +2.07360087089E+001, +0.00000000000E+000
+7.50449832978E+004, +2.08266258144E+001, +0.00000000000E+000
+7.54688247892E+004, +2.09185788946E+001, +0.00000000000E+000
+7.58926662806E+004, +2.10098468360E+001, +0.00000000000E+000
+7.63165077719E+004, +2.10990579694E+001, +0.00000000000E+000
+7.67403492633E+004, +2.11886662842E+001, +0.00000000000E+000
+7.71641907547E+004, +2.12782291466E+001, +0.00000000000E+000
+7.75880322461E+004, +2.13690757742E+001, +0.00000000000E+000
+7.80118737375E+004, +2.14591286687E+001, +0.00000000000E+000
+7.84357152289E+004, +2.15476234846E+001, +0.00000000000E+000
+7.88595567203E+004, +2.16385251189E+001, +0.00000000000E+000
+7.92833982117E+004, +2.17252603604E+001, +0.00000000000E+000
+7.97072397031E+004, +2.18150784023E+001, +0.00000000000E+000
+8.01310811945E+004, +2.19028491182E+001, +0.00000000000E+000
+8.05549226859E+004, +2.19913060094E+001, +0.00000000000E+000
+8.09787641772E+004, +2.20791640332E+001, +0.00000000000E+000
+8.14026056686E+004, +2.21665697717E+001, +0.00000000000E+000
+8.18264471600E+004, +2.22544256615E+001, +0.00000000000E+000
+8.22502886514E+004, +2.23425718384E+001, +0.00000000000E+000
+8.26741301428E+004, +2.24281933646E+001, +0.00000000000E+000
+8.30979716342E+004, +2.25139056782E+001, +0.00000000000E+000
+8.35218131256E+004, +2.26010505307E+001, +0.00000000000E+000
+8.39456546170E+004, +2.26883275744E+001, +0.00000000000E+000
+8.43694961084E+004, +2.27726146514E+001, +0.00000000000E+000
+8.47933375998E+004, +2.28587360364E+001, +0.00000000000E+000
+8.52887815230E+004, +2.29575889711E+001, +0.00000000000E+000
+8.58727149780E+004, +2.30755778650E+001, +0.00000000000E+000
+8.64566484331E+004, +2.31924304018E+001, +0.00000000000E+000
+8.70405818881E+004, +2.33087661040E+001, +0.00000000000E+000
+8.76245153431E+004, +2.34249277639E+001, +0.00000000000E+000
+8.82084487982E+004, +2.35395543538E+001, +0.00000000000E+000
+8.87923822532E+004, +2.36542252031E+001, +0.00000000000E+000
+8.93763157082E+004, +2.37693369638E+001, +0.00000000000E+000
+8.99602491632E+004, +2.38846789772E+001, +0.00000000000E+000
+9.05441826183E+004, +2.39959083835E+001, +0.00000000000E+000
+9.11281160733E+004, +2.41092566334E+001, +0.00000000000E+000
+9.17120495283E+004, +2.41918559734E+001, +0.00000000000E+000
+9.22959829834E+004, +2.43036977559E+001, +0.00000000000E+000
+9.28799164384E+004, +2.44144908029E+001, +0.00000000000E+000
+9.34638498934E+004, +2.45238457319E+001, +0.00000000000E+000
+9.40477833484E+004, +2.46344732223E+001, +0.00000000000E+000
+9.46317168035E+004, +2.47453210437E+001, +0.00000000000E+000
+9.52156502585E+004, +2.48524932286E+001, +0.00000000000E+000
+9.57995837135E+004, +2.49613395483E+001, +0.00000000000E+000
+9.63835171686E+004, +2.50712271217E+001, +0.00000000000E+000
+9.69674506236E+004, +2.51790631957E+001, +0.00000000000E+000
+9.75513840786E+004, +2.52853195794E+001, +0.00000000000E+000
+9.81353175336E+004, +2.53950321128E+001, +0.00000000000E+000
+9.87192509887E+004, +2.55001953632E+001, +0.00000000000E+000
+9.93031844437E+004, +2.56077928510E+001, +0.00000000000E+000
+9.98871178987E+004, +2.57127269184E+001, +0.00000000000E+000
+1.00471051354E+005, +2.58173464365E+001, +0.00000000000E+000
+1.01054984809E+005, +2.59227005999E+001, +0.00000000000E+000
+1.01638918264E+005, +2.60273347608E+001, +0.00000000000E+000
+1.02222851719E+005, +2.61315298423E+001, +0.00000000000E+000
+1.02806785174E+005, +2.62342238263E+001, +0.00000000000E+000
+1.03390718629E+005, +2.63357248223E+001, +0.00000000000E+000
+1.03974652084E+005, +2.64397579365E+001, +0.00000000000E+000
+1.04558585539E+005, +2.65404361948E+001, +0.00000000000E+000
